ogid	fname	gname	year	occ	gqid	cy	ark	title	creator
gebhart-emile-1839-07-19	Gebhart	Emile	1839	writer	A6-357	FR	https://gallica.bnf.fr/ark:/12148/bpt6k107542s	Souvenirs d'un vieil Athénien / Emile Gebhart,...	Gebhart, Émile (1839-1908). Auteur du texte
hermant-abel-1862-02-03	Hermant	Abel	1862	novelist	A6-417	FR	https://gallica.bnf.fr/ark:/12148/bpt6k33515511	Les grands bourgeois : mémoires pour servir à l'histoire de la société (13e éd.) / Abel Hermant	Hermant, Abel (1862-1950). Auteur du texte
loisy-alfred-1857-02-28	Loisy	Alfred	1857	writer	A6-515	FR	https://gallica.bnf.fr/ark:/12148/bpt6k6555498f	Mémoires pour servir à l'histoire religieuse de notre temps. T. 2. 1900-1908 / Alfred Loisy	Loisy, Alfred (1857-1940). Auteur du texte
simon-jules-1814-12-27	Simon	Jules	1814	writer	A6-745	FR	https://gallica.bnf.fr/ark:/12148/bpt6k9681023s	Mémoires des autres / Jules Simon ; ill. de Noël Saunier ; gravées sur bois par Charpentié, Méaulle et Quesnel	Simon, Jules (1814-1896). Auteur du texte
sue-eugene-1804-01-26	Sue	Eugène	1804	novelist	A6-757	FR	https://gallica.bnf.fr/ark:/12148/bpt6k66115z	Les misères des enfants trouvés, ou Les mémoires d'un valet de chambre.... Tome 1 / Eugène Sue	Sue, Eugène (1804-1857). Auteur du texte
simon-jules-1814-12-27	Simon	Jules	1814	writer	A6-745	FR	https://gallica.bnf.fr/ark:/12148/bpt6k2070111	Mémoires des autres / Jules Simon ; ill. de Noël Saunier ; gravées sur bois par Charpentié, Méaulle et Quesnel	Simon, Jules (1814-1896). Auteur du texte
laffitte-pierre-1823-02-21	Laffitte	Pierre	1823	writer	A6-453	FR	https://gallica.bnf.fr/ark:/12148/bpt6k65101713	Testament d'Auguste Comte, avec les documents qui s'y rapportent : pièces justificatives, prières quotidiennes, confessi	Laffitte, Pierre (1823-1903). Auteur du texte
comte-auguste-1798-01-19	Comte	Auguste	1798	writer	A6-211	FR	https://gallica.bnf.fr/ark:/12148/bpt6k65101713	Testament d'Auguste Comte, avec les documents qui s'y rapportent : pièces justificatives, prières quotidiennes, confessi	Comte, Auguste (1798-1857). Auteur du texte
marmier-xavier-1808-06-22	Marmier	Xavier	1808	writer	A6-544	FR	https://gallica.bnf.fr/ark:/12148/bpt6k9814356p	Souvenirs d'un voyageur (Nouvelle édition) / Xavier Marmier,...	Marmier, Xavier (1808-1892). Auteur du texte
souvestre-emile-1806-04-15	Souvestre	Emile	1806	novelist	A6-753	FR	https://gallica.bnf.fr/ark:/12148/bpt6k5812230n	Souvenirs d'un Bas-Breton, par Émile Souvestre	Souvestre, Émile (1806-1854). Auteur du texte
malot-hector-1830-05-20	Malot	Hector	1830	novelist	A6-533	FR	https://gallica.bnf.fr/ark:/12148/bpt6k6114830v	Suzanne : souvenirs d'un blessé / par Hector Malot	Malot, Hector (1830-1907). Auteur du texte
about-edmond-1828-02-14	About	Edmond	1828	novelist	A6-2	FR	https://gallica.bnf.fr/ark:/12148/bpt6k56628593	Nouvelles et souvenirs (3e éd.) / par Edmond About,...	About, Edmond (1828-1885). Auteur du texte
tinan-jean-1874-01-19	Tinan	Jean	1874	novelist	A6-772	FR	https://gallica.bnf.fr/ark:/12148/bpt6k9763465t	Jean de Tinan : souvenirs et correspondance / André Lebey	Tinan, Jean de (1874-1898). Auteur du texte
about-edmond-1828-02-14	About	Edmond	1828	novelist	A6-2	FR	https://gallica.bnf.fr/ark:/12148/bpt6k96247g	Nouvelles et souvenirs (3e éd.) / par Edmond About,...	About, Edmond (1828-1885). Auteur du texte
hermant-abel-1862-02-03	Hermant	Abel	1862	novelist	A6-417	FR	https://gallica.bnf.fr/ark:/12148/bpt6k66378d	M. de Courpière marié (nouveaux souvenirs) / Abel Hermant	Hermant, Abel (1862-1950). Auteur du texte
reclus-elisee-1830-03-15	Reclus	Elisee	1830	writer	A6-674	FR	https://gallica.bnf.fr/ark:/12148/bpt6k775296	Le Mississipi : études et souvenirs / [Signé : Élisée Reclus]	Reclus, Élisée (1830-1905). Auteur du texte
sue-eugene-1804-01-26	Sue	Eugène	1804	novelist	A6-757	FR	https://gallica.bnf.fr/ark:/12148/bpt6k6551733w	Les misères des enfants trouvés, ou Les mémoires d'un valet de chambre. Tome 1 / par Eugène Sue...	Sue, Eugène (1804-1857). Auteur du texte
sue-eugene-1804-01-26	Sue	Eugène	1804	novelist	A6-757	FR	https://gallica.bnf.fr/ark:/12148/bpt6k6154207n	Mathilde, mémoires d'une jeune femme, par M. Eugène Süe. Nouvelle édition, revue par l'auteur.... Partie 1	Sue, Eugène (1804-1857). Auteur du texte
hermant-abel-1862-02-03	Hermant	Abel	1862	novelist	A6-417	FR	https://gallica.bnf.fr/ark:/12148/bd6t54169302b	Mémoires pour servir à l'histoire de la société. Les confidences d'une biche, 1859-1871 / Abel Hermant	Hermant, Abel (1862-1950). Auteur du texte
goncourt-edmond-1822-05-26	Goncourt	Edmond	1822	novelist	A6-375	FR	https://gallica.bnf.fr/ark:/12148/bpt6k58315120	Sophie Arnould, d'après sa correspondance et ses mémoires inédits (2e éd.) / par MM. Edmond et Jules de Goncourt	Goncourt, Edmond de (1822-1896). Auteur du texte
about-edmond-1828-02-14	About	Edmond	1828	novelist	A6-2	FR	https://gallica.bnf.fr/ark:/12148/bpt6k58053898	Le fellah : souvenirs d'Égypte (6e éd.) / Edmond About	About, Edmond (1828-1885). Auteur du texte
sarcey-francisque-1827-10-08	Sarcey	Francisque	1827	writer	A6-725	FR	https://gallica.bnf.fr/ark:/12148/bpt6k62092287	Le siège de Paris : impressions et souvenirs / Francisque Sarcey	Sarcey, Francisque (1827-1899). Auteur du texte
nisard-desire-1806-03-20	Nisard	Désiré	1806	writer	A6-599	FR	https://gallica.bnf.fr/ark:/12148/bpt6k54061806	Souvenirs et notes biographiques (juillet 1881) / par Désiré Nisard,...	Nisard, Désiré (1806-1888). Auteur du texte
fabre-emile-1869-03-24	Fabre	Emile	1869	writer	A6-301	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3359305k	De Thalie à Melpomène : souvenirs de théâtre / Émile Fabre	Fabre, Émile (1869-1955). Auteur du texte
sarcey-francisque-1827-10-08	Sarcey	Francisque	1827	writer	A6-725	FR	https://gallica.bnf.fr/ark:/12148/bpt6k64686026	Le siège de Paris : impressions et souvenirs / Francisque Sarcey	Sarcey, Francisque (1827-1899). Auteur du texte
malot-hector-1830-05-20	Malot	Hector	1830	novelist	A6-533	FR	https://gallica.bnf.fr/ark:/12148/bpt6k64056s	Miss Clifton : souvenirs d'un blessé / par Hector Malot	Malot, Hector (1830-1907). Auteur du texte
