gondinet-edmond-1828-03-07				1869-08-14
sabatier-paul-1854-11-05				1918-02-28
sabatier-paul-1854-11-05				1912-12-10
rodin-auguste-1840-11-12				1910-05-16
rodin-auguste-1840-11-12				1892-01-19
rodin-auguste-1840-11-12				1887-12-31
rodin-auguste-1840-11-12				1903-05-20
brongniart-adolphe-1801-01-14				1852-11-25
moinot-pierre-1920-03-29				1982-01-21
riegle-donald-1938-02-04				1967-01-03
riegle-donald-1938-02-04				1981-01-03
riegle-donald-1938-02-04				1971-01-03
riegle-donald-1938-02-04				1989-01-03
riegle-donald-1938-02-04				1983-01-03
riegle-donald-1938-02-04				1977-01-03
riegle-donald-1938-02-04				1969-01-03
riegle-donald-1938-02-04				1987-01-03
riegle-donald-1938-02-04				1975-01-03
riegle-donald-1938-02-04				1976-12-30
riegle-donald-1938-02-04				1991-01-03
riegle-donald-1938-02-04				1993-01-03
riegle-donald-1938-02-04				1973-01-03
riegle-donald-1938-02-04				1985-01-03
riegle-donald-1938-02-04				1979-01-03
papen-franz-1879-10-29				1934-07-27
papen-franz-1879-10-29				1932-06-01
papen-franz-1879-10-29				1932-07-20
papen-franz-1879-10-29				1933-01-30
papen-franz-1879-10-29				1932-06-01
papen-franz-1879-10-29				1933-01-30
lecat-jean-philippe-1935-07-29				1978-04-03
lecat-jean-philippe-1935-07-29				1978-04-05
lecat-jean-philippe-1935-07-29				1973-04-02
lecat-jean-philippe-1935-07-29				1968-07-11
moro-aldo-1916-09-23				1958-06-05
moro-aldo-1916-09-23				1964-12-28
moro-aldo-1916-09-23				1972-05-17
moro-aldo-1916-09-23				1966-02-23
moro-aldo-1916-09-23				1970-03-28
moro-aldo-1916-09-23				1972-02-18
moro-aldo-1916-09-23				1953-06-18
moro-aldo-1916-09-23				1963-12-04
moro-aldo-1916-09-23				1968-05-29
moro-aldo-1916-09-23				1955-07-06
moro-aldo-1916-09-23				1964-07-22
moro-aldo-1916-09-23				1948-04-27
moro-aldo-1916-09-23				1965-12-30
moro-aldo-1916-09-23				1973-07-08
moro-aldo-1916-09-23				1976-06-30
moro-aldo-1916-09-23				1974-11-23
moro-aldo-1916-09-23				1970-08-06
moro-aldo-1916-09-23				1969-08-06
moro-aldo-1916-09-23				1976-02-12
moro-aldo-1916-09-23				1963-05-09
moro-aldo-1916-09-23				1958-07-02
moro-aldo-1916-09-23				1957-05-20
moro-aldo-1916-09-23				1974-03-15
d-annunzio-gabriele-1863-03-12				1897-04-05
roussin-albert-1821-08-02				1877-11-23
gravelle-andre-1925-09-30				1973-04-02
laurent-augustin-1896-09-09				1946-12-16
laurent-augustin-1896-09-09				1944-09-10
danielou-charles-1878-07-13				1910-05-08
desson-guy-1909-04-07				1967-04-03
desson-guy-1909-04-07				1947-11-13
bouchardeau-huguette-briaut-1935-06-01				1986-04-02
bouchardeau-huguette-briaut-1935-06-01				1988-06-23
ziegler-ronald-1939-05-12				1969-01-20
mohrt-pierre-1914-04-28				1985-04-18
tharaud-jean-1877-05-09				1946-02-14
comerre-leon-1850-10-10				1885-12-29
comerre-leon-1850-10-10				1903-04-05
bompard-maurice-1857-02-11				1898-08-27
bompard-maurice-1857-02-11				1914-06-12
wolf-pierre-rene-1899-02-19				1949-08-02
