ogid	fname	gname	year	occ	gqid	cy	ia_id	title	creator
feval-paul-1816-09-29	Feval	Paul	1816	novelist	A6-314	FR	mariembaume01_202005	Le mari embaumé, souvenirs d'un page de M. de Vendôme	Paul Henri Corentin Féval
sarcey-francisque-1827-10-08	Sarcey	Francisque	1827	writer	A6-725	FR	siegedeparisi00sarc	Le siége de Paris : impressions et souvenirs	Sarcey, Francisque, 1827-1899
bazin-rene-1853-12-26	Bazin	René	1853	novelist	A6-67	FR	ahr8979.0001.001.umich.edu	Mémoires d'une vieille fille	Bazin, René, 1853-1932
claretie-jules-1840-12-03	Claretie	Jules	1840	novelist	A6-201	FR	mmoiresdemadam02rola	Mémoires de madame Roland \	Claretie, Jules, 1840-1913
curel-francois-1854-06-10	Curel	François	1854	writer	A6-222	FR	thtrecomplet03cureuoft	Théâtre complet. Textes remaniés par l'auteur avec l'historique de chaque pìece suivis des souvenirs de l'auteur	Curel, François de, 1854-1928
veuillot-louis-1813-10-11	Veuillot	Louis	1813	writer	A6-796	FR	lesfranaisena00veui	Les Français en Algérie; souvenirs d'un voyage fait en 1841	Veuillot, Louis, 1813-1883
sainte-beuve-charles-1804-12-23	Sainte-Beuve	Charles	1804	writer	A6-717	FR	mmoiresdefl00fl	Mémoires de Fléchier sur les grands-jours d'Auvergne en 1665	Sainte-Beuve, Charles Augustin, 1804-1869
goncourt-edmond-1822-05-26	Goncourt	Edmond	1822	novelist	A6-375	FR	journaldesgonco05gonc	Journal des Goncourt : mémoires de la vie littéraire	Goncourt, Edmond de, 1822-1896
gozlan-leon-1803-09-10	Gozlan	Léon	1803	novelist	A6-380	FR	balzacchezluis00gozl	Balzac chez lui : souvenirs des Jardies	Gozlan, Léon, 1803-1866
guillaumin-emile-1873-11-10	Guillaumin	Emile	1873	novelist	A6-394	FR	laviedunsimpleme00guil	La vie d'un simple (memoires d'un métayer);	Guillaumin, Emile, 1873-1951
cheruel-pierre-1809-01-17	Cheruel	Pierre	1809	writer	A6-195	FR	ssmmoirescompl08sain	Mémoires complets et authentiques du duc de Saint-Simon, sur le siècle de Louis XIV et la Régence	Chéruel, Pierre Adolphe, 1809-1891
about-edmond-1828-02-14	About	Edmond	1828	novelist	A6-2	FR	lefellahsouvenir00abou	Le fellah; souvenirs d'Egypte	About, Edmond, 1828-1885
mockel-albert-1866-12-27	Mockel	Albert	1866	writer	A6-1159	BE	augustedonnaysou00mock	Auguste Donnay : souvenirs et réflexions	Mockel, Albert, 1866-1945
goncourt-edmond-1822-05-26	Goncourt	Edmond	1822	novelist	A6-375	FR	sophiearnoulddap00gonc	Sophie Arnould, d'après sa correspondance et ses mémoires inédits [par] Edmond et Jules de Goncourt	Goncourt, Edmond de, 1822-1896
goncourt-edmond-1822-05-26	Goncourt	Edmond	1822	novelist	A6-375	FR	sophiearnouldda00gonc	Sophie Arnould d'après sa correspondance et ses mémoires inédits	Goncourt, Edmond de, 1822-1896
goncourt-edmond-1822-05-26	Goncourt	Edmond	1822	novelist	A6-375	FR	sophiearnoulddap00gonc_1	Sophie Arnould d'apres sa correspondance et ses memoires inedits	Goncourt, Edmond de, 1822-1896
sue-eugene-1804-01-26	Sue	Eugène	1804	novelist	A6-757	FR	martinlenfanttro00suee	Martin l'enfant trouvé, ou, Les mémoires d'un valet de chambre	Sue, Eugène, 1804-1857
sue-eugene-1804-01-26	Sue	Eugène	1804	novelist	A6-757	FR	martinlenfanttro01sueeuoft	Martin l'enfant trouvé : ou, Les mémoires d'un valet de chambre	Sue, Eugène, 1804-1857
sue-eugene-1804-01-26	Sue	Eugène	1804	novelist	A6-757	FR	martinlenfanttro03sueeuoft	Martin l'enfant trouvé : ou, Les mémoires d'un valet de chambre	Sue, Eugène, 1804-1857
cheruel-pierre-1809-01-17	Cheruel	Pierre	1809	writer	A6-195	FR	ssmmoirescompl05sain	Mémoires complets et authentiques du duc de Saint-Simon, sur le siècle de Louis XIV et la Régence	Chéruel, Pierre Adolphe, 1809-1891
houssaye-arsene-1814-03-28	Houssaye	Arsène	1814	novelist	A6-422	FR	lesconfessionss11housgoog	... Les confessions : souvenirs d'un demi-siècle, 1830-1880 [1890] ..	Houssaye, Arsène, 1815-1896
houssaye-arsene-1814-03-28	Houssaye	Arsène	1814	novelist	A6-422	FR	lesconfessionsso04housuoft	Les confessions; souvenirs d'un demisiècle, 1830-1880	Houssaye, Arsène, 1815-1896
veuillot-louis-1813-10-11	Veuillot	Louis	1813	writer	A6-796	FR	agnsdelauvenso00lauv	Agnès de Lauvens ; ou, Mémoires de soeur Saint-Louis : contenant divers souvenirs de son éducation et de sa vie dans le 	Veuillot, Louis François, 1813-1883
janin-jules-1804-02-16	Janin	Jules	1804	writer	A6-434	FR	petitssouvenirsa00janiuoft	Petits souvenirs. Avec une eau-forte par Ad. Lalauze	Janin, Jules Gabriel, 1804-1874
claretie-jules-1840-12-03	Claretie	Jules	1840	novelist	A6-201	FR	lesconfession02rous	Les confessions	Claretie, Jules, 1840-1913
