# NY.GDP.PCAP.KD.ZG, World Bank API, снято 2026-07-26; только страны, сматченные с GWF
Benin	1989	-5.7812
Benin	1990	5.6784
Benin	1991	1.0599
Benin	1992	-0.1746
Benin	1993	1.2431
Benin	1994	-1.7247
Benin	1995	3.8267
Benin	1996	1.6299
Benin	1997	2.6589
Benin	1998	0.8048
Benin	1999	2.1324
Benin	2000	2.6504
Benin	2001	2.1645
Benin	2002	1.5096
Benin	2003	0.3370
Benin	2004	1.2808
Benin	2005	-1.5104
Benin	2006	0.7501
Benin	2007	2.9002
Benin	2008	1.7765
Benin	2009	-0.7037
Benin	2010	-0.8882
Bolivia	1961	0.0250
Bolivia	1962	3.4232
Bolivia	1963	4.5900
Bolivia	1964	1.7838
Bolivia	1965	2.6976
Bolivia	1966	4.8801
Bolivia	1967	4.0133
Bolivia	1968	6.1464
Bolivia	1969	2.1629
Bolivia	1970	2.8977
Bolivia	1971	2.7283
Bolivia	1972	5.5694
Bolivia	1973	3.3871
Bolivia	1974	0.6384
Bolivia	1975	4.9076
Bolivia	1976	2.2471
Bolivia	1977	2.5774
Bolivia	1978	-0.2642
Bolivia	1979	-2.1202
Bolivia	1980	-3.5648
Bolivia	1981	-1.9248
Bolivia	1982	-6.0135
Bolivia	1983	-6.0860
Bolivia	1984	-2.3106
Bolivia	1985	-3.7347
Bolivia	1986	-4.6004
Bolivia	1987	0.3248
Bolivia	1988	0.7514
Bolivia	1989	1.6159
Bolivia	1990	2.4583
Bolivia	1991	3.0955
Bolivia	1992	-0.4061
Bolivia	1993	2.2214
Bolivia	1994	2.6609
Bolivia	1995	2.7195
Bolivia	1996	2.4481
Bolivia	1997	3.0761
Bolivia	1998	3.1912
Bolivia	1999	-1.3112
Bolivia	2000	0.7626
Bolivia	2001	-0.0171
Bolivia	2002	0.7858
Bolivia	2003	1.0052
Bolivia	2004	2.4350
Bolivia	2005	2.6760
Bolivia	2006	3.0257
Bolivia	2007	2.7910
Bolivia	2008	4.3716
Bolivia	2009	1.6501
Bolivia	2010	2.4285
Botswana	1961	3.9710
Botswana	1962	4.2489
Botswana	1963	3.4730
Botswana	1964	4.3231
Botswana	1965	4.2676
Botswana	1966	5.7548
Botswana	1967	5.3653
Botswana	1968	9.9928
Botswana	1969	14.5155
Botswana	1970	16.4719
Botswana	1971	23.6950
Botswana	1972	21.9105
Botswana	1973	15.7251
Botswana	1974	3.5535
Botswana	1975	3.1876
Botswana	1976	5.0855
Botswana	1977	6.2591
Botswana	1978	7.6464
Botswana	1979	5.6189
Botswana	1980	7.7172
Botswana	1981	5.4094
Botswana	1982	7.8009
Botswana	1983	9.1592
Botswana	1984	4.7869
Botswana	1985	3.4698
Botswana	1986	4.5656
Botswana	1987	8.2883
Botswana	1988	15.9395
Botswana	1989	9.9622
