decision	ogid	pg_id	title	reason
reject	margueritte-victor-1866-12-01	64144	Femmes nouvelles	given-name mismatch (v vs victor)
reject	lichtenberger-andre-1870-11-29	64165	En Alsace	not-memoir-title
reject	about-edmond-1828-02-14	64202	Les mariages de Paris	fiction-as-memoir (Subjects)
reject	janin-jules-1804-02-16	64289	Jean Sbogar	fiction-as-memoir (Subjects)
reject	faure-gabriel-1877-05-15	64290	Paysages Passionnés	not-memoir-title
reject	lorrain-jean-1855-08-09	64423	L'école des vieilles femmes	fiction-as-memoir (Subjects)
reject	figuier-louis-1819-02-15	64590	Dans l'abîme	fiction-as-memoir (Subjects)
reject	bloy-leon-1846-07-11	64760	Le Salut par les Juifs	not-memoir-title
reject	frapie-leon-1863-01-27	64798	La Maternelle	fiction-as-memoir (Subjects)
reject	pouvillon-emile-1840-10-10	64838	Le vœu d'être chaste: roman	fiction-as-memoir (Subjects)
reject	frapie-leon-1863-01-27	64886	La Manifestante	fiction-as-memoir (Subjects)
reject	boylesve-rene-1867-04-14	64902	Élise	fiction-as-memoir (Subjects)
reject	boylesve-rene-1867-04-14	64913	Les nouvelles leçons d'amour dans un parc	fiction-as-memoir (Subjects)
reject	boylesve-rene-1867-04-14	64983	Mon amour	fiction-as-memoir (Subjects)
reject	lichtenberger-andre-1870-11-29	65025	La petite sœur de Trott	fiction-as-memoir (Subjects)
reject	boylesve-rene-1867-04-14	65031	Le meilleur ami	fiction-as-memoir (Subjects)
reject	hermant-abel-1862-02-03	65187	Les Confidences d'une Biche, 1859-1871	fiction-as-memoir (Subjects)
reject	lemonnier-camille-1844-03-23	65494	Au Coeur Frais de la Forêt: Roman	fiction-as-memoir (Subjects)
reject	about-edmond-1828-02-14	65546	Le Turco	fiction-as-memoir (Subjects)
reject	leroux-gaston-1868-05-06	65878	La Poupée Sanglante	fiction-as-memoir (Subjects)
reject	lemonnier-camille-1844-03-23	66652	La petite femme de la mer	fiction-as-memoir (Subjects)
reject	mirbeau-octave-1848-02-16	66681	Chez l'illustre Écrivain	not-memoir-title
